date,visitors,weather_temp_mean_lag1,daily_capacity
2026-05-01,2400,18.0,12000
2026-05-02,3067,18.7,12000
2026-05-03,3084,19.4,12000
2026-05-04,2451,20.1,12000
2026-05-05,2468,20.8,12000
2026-05-06,2485,21.5,12000
2026-05-07,2502,22.2,12000
2026-05-08,2519,22.9,12000
2026-05-09,3186,23.6,12000
2026-05-10,3203,24.3,12000
2026-05-11,2570,25.0,12000
2026-05-12,2587,25.7,12000
2026-05-13,2604,18.0,12000
2026-05-14,2621,18.7,12000
2026-05-15,2638,19.4,12000
2026-05-16,3305,20.1,12000
2026-05-17,3322,20.8,12000
2026-05-18,2689,21.5,12000
2026-05-19,2706,22.2,12000
2026-05-20,2723,22.9,12000
2026-05-21,2740,23.6,12000
2026-05-22,2757,24.3,12000
2026-05-23,3424,25.0,12000
2026-05-24,3441,25.7,12000
2026-05-25,2808,18.0,12000
2026-05-26,2825,18.7,12000
2026-05-27,2842,19.4,12000
2026-05-28,2859,20.1,12000
2026-05-29,2876,20.8,12000
2026-05-30,3543,21.5,12000
2026-05-31,3560,22.2,12000
2026-06-01,2927,22.9,12000
2026-06-02,2944,23.6,12000
2026-06-03,2961,24.3,12000
2026-06-04,2978,25.0,12000
2026-06-05,2995,25.7,12000
2026-06-06,3662,18.0,12000
2026-06-07,3679,18.7,12000
2026-06-08,3046,19.4,12000
2026-06-09,3063,20.1,12000
2026-06-10,3080,20.8,12000
2026-06-11,3097,21.5,12000
