comment_id,video_id,video_title,video_url,video_author,nickname,user_id,ip_location,create_time,year,like_count,sub_comment_count,impact_score,sentiment,sentiment_score,level1_category,level2_category,primary_level1,primary_level2,related_spots,primary_spot,content
273066682929,115054791957788,送你一份超详细的贵阳两日逛吃旅游攻略 | 内含图文版,https://www.bilibili.com/video/av115054791957788,迈***Q,郝***丶,,未知,2025-08-29 02:19,2025,122,11,10.7,避坑预警/痛点吐槽,-1.0,餐饮美食与特色体验,特色小吃与夜市文化,餐饮美食与特色体验,特色小吃与夜市文化,贵阳市区/黔灵山,贵阳市区/黔灵山,我8月初打算去贵阳，一搜酒店500起步，那种什么连锁更是夸张看到700一晚，而且看评论还是那种带图片的差评，看的头皮发麻，算了下一家子过去一晚开两间，一晚上光住宿费就1000-1500起步，而且我们开车到贵阳三小时车程，去贵阳花这点冤枉钱，想了想既然要出去把钱花对地方比较舒坦，然后果断买了成都的机票，直接转战成都和重庆，搜了你们的攻略美美耍了一个周[笑哭]
273313918336,115054791957788,送你一份超详细的贵阳两日逛吃旅游攻略 | 内含图文版,https://www.bilibili.com/video/av115054791957788,迈***Q,埋***我,,未知,2025-08-20 11:58,2025,66,6,9.25,强力种草/惊艳好评,2.0,自然风光与气候避暑,瀑布水景视觉震撼,自然风光与气候避暑,瀑布水景视觉震撼,贵阳市区/黔灵山,贵阳市区/黔灵山,这一年去了两次贵阳，攻略太权威了！喜欢喝奶茶的朋友强烈推荐试试贵阳本地品牌“去茶山”！
273546985904,115054791957788,送你一份超详细的贵阳两日逛吃旅游攻略 | 内含图文版,https://www.bilibili.com/video/av115054791957788,迈***Q,调***子,,未知,2025-08-22 08:27,2025,29,6,8.05,实战攻略/避坑技巧,0.2,交通自驾与行程路况,山路弯道与自驾难度,交通自驾与行程路况,山路弯道与自驾难度,黄果树瀑布 | 西江千户苗寨 | 贵阳市区/黔灵山,黄果树瀑布,强烈提醒，暑假去，避开贵阳的景点！慎去千古苗寨！黄果树需要起早并降低心理预期，自然风光真的没话说，超顶，如果不是打卡族，建议往小景点去，景色一样好
272202890913,115054791957788,送你一份超详细的贵阳两日逛吃旅游攻略 | 内含图文版,https://www.bilibili.com/video/av115054791957788,迈***Q,我***猪,,未知,2025-08-21 20:45,2025,28,11,8.54,客观探讨/咨询互动,0.0,景区运营与排队管理,核心项目超长排队与拥堵,景区运营与排队管理,核心项目超长排队与拥堵,贵州全域/综合,贵州全域/综合,今天刚回来，除了人多挤的厉害和宾馆价格略离谱外，无论人文还有景色都没得喷
312102801200,117008297493925,不只是凉快，一口气逛遍贵州全省43个景区，TOP10你去过几个？ | 【全景推荐03】,https://www.bilibili.com/video/av117008297493925,行***卒,修***爸,,未知,2026-08-04 00:33,2026,20,3,6.95,强力种草/惊艳好评,3.0,消费预算与综合性价比,高性价比与平民消费好评,消费预算与综合性价比,高性价比与平民消费好评,肇兴侗寨/加榜梯田 | 遵义红色胜地/赤水 | 阿西里西韭菜坪/百里杜鹃,肇兴侗寨/加榜梯田,"贵州的话，去那种县城最好：好吃的多主要是食材放心，酒店便宜，人不拥挤。
推荐黔西市、桐梓县、榕江，黔西的酒店双床标准间一晚上才137"
311734924960,117008297493925,不只是凉快，一口气逛遍贵州全省43个景区，TOP10你去过几个？ | 【全景推荐03】,https://www.bilibili.com/video/av117008297493925,行***卒,黑***菌,,未知,2026-08-01 12:21,2026,213,38,12.71,避坑预警/痛点吐槽,-1.0,餐饮美食与特色体验 | 交通自驾与行程路况,特色小吃与夜市文化 | 餐饮价格与隐形消费 | 山路弯道与自驾难度 | 包车打车与出租车避坑 | 高铁大巴换乘与班次衔接,餐饮美食与特色体验,特色小吃与夜市文化,贵阳市区/黔灵山,贵阳市区/黔灵山,"作为一个90后贵阳土著，来贵阳别去花果园白宫！别去青云市集！别看抖音推荐店铺！
我跑出租车遇到太多外地朋友去完以后抱怨太多了！上车就劝，不听。还说我们这里坑，白宫拍照几十一张，青云市集东西很贵，去哪哪哪吃饭味道也不怎样……
那本地人也不去的地方能有啥好？还有就是来贵阳玩的朋友们，打车如果怕被绕路教你们，上车开导航给司机看，让他按照导航行驶，绕路的话，下车后正常付款，记下车牌第一时间打12345或者出租车车门上的公司电话进行投诉，正常情况会退回你车费，司机也会被重罚！当然你说你打网约车我觉得都可以，但是总有遇到高峰期打不到，你又急用车的时候你可以看看这个。而且网约车挑单子现在行内人懂的都懂！
还有就是买土特产别去那些土特产门店，基本上价格贵！要去就去贵阳本土的一些批发市场，比如什么火车站，正兴街那种。都别说门店了，我最近突然想吃麻辣洋芋片，前些天说去摊位上买点，结果看一眼价格真特么吓人！20-25一斤！这土豆是金子做的？所以我现在已经在家被迫又学会一个技能，自己炸土豆片。"
311509592784,117008297493925,不只是凉快，一口气逛遍贵州全省43个景区，TOP10你去过几个？ | 【全景推荐03】,https://www.bilibili.com/video/av117008297493925,行***卒,u***g,,未知,2026-07-30 19:40,2026,31,16,9.03,客观探讨/咨询互动,0.0,自然风光与气候避暑,瀑布水景视觉震撼,自然风光与气候避暑,瀑布水景视觉震撼,西江千户苗寨,西江千户苗寨,"去贵州玩过很多，对排行深以为然。 

尤其是千户苗寨，没把它放进排行太对了。我是大白天去的，无聊，丑到倒贴钱我也不愿意再去了。"
308335908049,117008297493925,不只是凉快，一口气逛遍贵州全省43个景区，TOP10你去过几个？ | 【全景推荐03】,https://www.bilibili.com/video/av117008297493925,行***卒,黎***卷,,未知,2026-07-31 17:27,2026,11,3,6.11,强力种草/惊艳好评,1.0,消费预算与综合性价比,高性价比与平民消费好评,消费预算与综合性价比,高性价比与平民消费好评,贵州全域/综合,贵州全域/综合,请继续更新该视频，这是我了解贵州的唯一方式，顺便问一下，贵州好玩吗，好玩我就起床了
208486064608,1450486354,贵州9地市完整版-贵阳、毕节、六盘水、黔南、黔西南、黔东南、遵义、铜仁、安顺,https://www.bilibili.com/video/av1450486354,开***行,A***师,,未知,2024-02-17 15:09,2024,683,45,14.62,实战攻略/避坑技巧,0.2,餐饮美食与特色体验,特色小吃与夜市文化 | 折耳根与口味适应度,餐饮美食与特色体验,特色小吃与夜市文化,贵阳市区/黔灵山,贵阳市区/黔灵山,作为本地人，我的看法和up基本一致，外地的朋友完全可以用这个视频进行规划选择，另外提一点，如果没有特定的美食目标，建议就在贵阳吃，下面的地州市特色的很特色正宗，大众口味的不如有一定本地化的贵阳吃食。
208370426064,1450486354,贵州9地市完整版-贵阳、毕节、六盘水、黔南、黔西南、黔东南、遵义、铜仁、安顺,https://www.bilibili.com/video/av1450486354,开***行,伊***金,,未知,2024-02-16 20:19,2024,726,54,14.89,客观探讨/咨询互动,0.0,交通自驾与行程路况,山路弯道与自驾难度,交通自驾与行程路况,山路弯道与自驾难度,贵州全域/综合,贵州全域/综合,关注大半年，一直以为UP主叫 开心元旅行，今天突然发现叫 开元心旅行[doge]人麻了[笑哭]
