date,visitors,temperature,precipitation,known_reserved,search_index
2026-03-03,9815,13.0,4.0,5300,84
2026-03-04,12119,13.3,0.0,6665,95
2026-03-05,12325,13.6,0.0,6902,102
2026-03-06,12532,13.9,0.0,7143,90
2026-03-07,16941,14.2,0.0,9826,104
2026-03-08,17150,14.5,0.0,10119,112
2026-03-09,13162,14.8,0.0,7897,93
2026-03-10,13374,15.1,0.0,8158,101
2026-03-11,13588,15.4,0.0,8425,108
2026-03-12,13803,15.6,0.0,7454,96
2026-03-13,14019,15.9,0.0,7710,104
2026-03-14,16336,16.2,11.2,9148,95
2026-03-15,18654,16.5,0.0,10633,106
2026-03-16,12973,16.7,0.0,7524,104
2026-03-17,13194,17.0,0.0,7784,92
2026-03-18,11314,17.3,8.8,6788,96
2026-03-19,13636,17.5,0.0,8318,107
2026-03-20,13858,17.8,0.0,8592,95
2026-03-21,18282,18.0,0.0,9872,109
2026-03-22,16405,18.3,6.4,9023,94
2026-03-23,14529,18.5,0.0,8136,98
2026-03-24,14754,18.7,0.0,8410,106
2026-03-25,14979,18.9,0.0,8688,94
2026-03-26,13105,19.2,4.0,7732,98
2026-03-27,15431,19.4,0.0,9259,109
2026-03-28,18157,19.6,0.0,11076,101
2026-03-29,18383,19.8,0.0,11397,109
2026-03-30,14410,19.9,0.0,7781,109
2026-03-31,14636,20.1,0.0,8050,98
2026-04-01,14862,20.3,0.0,8323,105
2026-04-02,15089,20.4,0.0,8601,93
2026-04-03,15315,20.6,0.0,8883,101
2026-04-04,19741,20.7,0.0,11647,115
2026-04-05,19967,20.9,0.0,11980,103
2026-04-06,13893,21.0,11.2,8475,100
2026-04-07,16218,21.1,0.0,10055,111
2026-04-08,16443,21.2,0.0,8879,100
2026-04-09,16667,21.3,0.0,9167,107
2026-04-10,13090,21.4,8.8,7330,89
2026-04-11,19614,21.5,0.0,11180,107
2026-04-12,19836,21.6,0.0,11505,114
2026-04-13,15858,21.6,0.0,9356,96
2026-04-14,13978,21.7,6.4,8387,100
2026-04-15,16299,21.7,0.0,9942,110
2026-04-16,16518,21.8,0.0,10241,99
2026-04-17,16736,21.8,0.0,9037,106
2026-04-18,19053,21.8,4.0,10479,117
2026-04-19,21369,21.9,0.0,11967,108
2026-04-20,17384,21.9,0.0,9909,109
2026-04-21,17598,21.9,0.0,10207,97
